model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
cambridge.6,ufscc,48,0.710,2015-12-02.16:22:27,8413,3354295,9483191,3500073,9973415,1,0,9809,6256594,3428268
leader_filters.7,ufscc,48,2.490,2015-12-02.16:22:32,26302351,26302351,91692858,26391502,92071440,1,0,65522779,0,26391502
lup.3,ufscc,48,0.460,2015-12-02.16:22:36,1,1948617,3621672,2247721,4244293,1,0,0,1878876,1990062
resistance.1,ufscc,48,6.030,2015-12-02.16:22:43,3,13762624,32052024,30014690,70275329,1,0,1,27484743,21658630
sorter.3,ufscc,48,0.430,2015-12-02.16:22:46,1177164,1288478,2740540,1742599,3647499,1,326026,1187244,210872,1721548
bakery.6,renault,48,68.120,2015-12-02.16:23:55,2636212,11845035,40400559,411693645,1425691719,1,-1,-1,-1,-1
cambridge.6,renault,48,19.180,2015-12-02.16:24:17,8413,3354295,9483191,160610796,454498696,1,-1,-1,-1,-1
leader_filters.7,renault,48,2.360,2015-12-02.16:24:21,26302351,26302351,91692858,28298851,99587733,1,-1,-1,-1,-1
lup.3,renault,48,7.340,2015-12-02.16:24:32,1,1948617,3621672,93414603,173621732,1,-1,-1,-1,-1
resistance.1,renault,48,57.000,2015-12-02.16:25:30,3,13762624,32052024,656532136,1529230075,1,-1,-1,-1,-1
sorter.3,renault,48,0.530,2015-12-02.16:25:33,1177164,1288478,2740540,4385086,9363362,1,-1,-1,-1,-1
bakery.6,ufscc,64,1.350,2015-12-02.16:25:37,2636212,11845035,40400559,12412085,42319836,1,0,7263610,21745297,11950793
cambridge.6,ufscc,64,0.740,2015-12-02.16:25:40,8413,3354295,9483191,3519419,10023176,1,0,9906,6257122,3426520
leader_filters.7,ufscc,64,1.900,2015-12-02.16:25:47,26302351,26302351,91692858,26444306,92284455,1,0,65601694,0,26444306
lup.3,ufscc,64,0.500,2015-12-02.16:25:50,1,1948617,3621672,2640367,5042423,1,0,0,2077573,2035959
resistance.1,ufscc,64,7.780,2015-12-02.16:25:59,3,13762624,32052024,30684350,72861664,1,0,1,28809158,22396301
sorter.3,ufscc,64,0.650,2015-12-02.16:26:02,1177164,1288478,2740540,1912843,3982461,1,354157,1253609,223728,1885820
bakery.6,renault,64,69.180,2015-12-02.16:27:14,2636212,11845035,40400559,547666608,1897052193,1,-1,-1,-1,-1
cambridge.6,renault,64,19.820,2015-12-02.16:27:38,8413,3354295,9483191,214145063,605993640,1,-1,-1,-1,-1
lup.3,renault,64,7.940,2015-12-02.16:27:55,1,1948617,3621672,124711488,231787008,1,-1,-1,-1,-1
resistance.1,renault,64,59.200,2015-12-02.16:28:56,3,13762624,32052024,873145367,2033290517,1,-1,-1,-1,-1
sorter.3,renault,64,0.600,2015-12-02.16:29:01,1177164,1288478,2740540,4285277,9058380,1,-1,-1,-1,-1
bakery.6,tarjan,1,40.450,2015-12-02.20:23:52,2636212,11845035,40400559,11845035,40400559,1,-1,-1,-1,-1
cambridge.6,tarjan,1,14.990,2015-12-02.20:24:08,8413,3354295,9483191,3354295,9483191,1,-1,-1,-1,-1
leader_filters.7,tarjan,1,68.530,2015-12-02.20:25:18,26302351,26302351,91692858,26302351,91692858,1,-1,-1,-1,-1
lup.3,tarjan,1,5.440,2015-12-02.20:25:26,1,1948617,3621672,1948617,3621672,1,-1,-1,-1,-1
resistance.1,tarjan,1,38.710,2015-12-02.20:26:05,3,13762624,32052024,13762624,32052024,1,-1,-1,-1,-1
sorter.3,tarjan,1,2.750,2015-12-02.20:26:09,1177164,1288478,2740540,1288478,2740540,1,-1,-1,-1,-1
bakery.6,ufscc,1,44.810,2015-12-02.20:26:55,2636212,11845035,40400559,11845035,40400560,1,0,7207804,21347721,11845035
cambridge.6,ufscc,1,16.120,2015-12-02.20:27:13,8413,3354295,9483191,3354295,9483192,1,0,9724,6119173,3354295
leader_filters.7,ufscc,1,89.300,2015-12-02.20:28:44,26302351,26302351,91692858,26302351,91692859,1,0,65390508,0,26302351
lup.3,ufscc,1,6.300,2015-12-02.20:28:52,1,1948617,3621672,1948617,3621673,1,0,0,1673056,1948617
resistance.1,ufscc,1,38.520,2015-12-02.20:29:31,3,13762624,32052024,13762624,32052025,1,0,1,18289400,13762624
sorter.3,ufscc,1,5.730,2015-12-02.20:29:38,1177164,1288478,2740540,1288478,2740541,1,251094,1024992,175977,1288478
bakery.6,renault,1,48.440,2015-12-02.20:30:28,2636212,11845035,40400559,11845035,40400559,1,-1,-1,-1,-1
cambridge.6,renault,1,20.930,2015-12-02.20:30:50,8413,3354295,9483191,3354295,9483191,1,-1,-1,-1,-1
leader_filters.7,renault,1,76.980,2015-12-02.20:32:09,26302351,26302351,91692858,26302351,91692858,1,-1,-1,-1,-1
lup.3,renault,1,7.120,2015-12-02.20:32:18,1,1948617,3621672,1948617,3621672,1,-1,-1,-1,-1
resistance.1,renault,1,43.960,2015-12-02.20:33:03,3,13762624,32052024,13762624,32052024,1,-1,-1,-1,-1
