model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
sorter.3,hong,24,4.271775,2015-09-05.01:12:40,1177164,1288478,2740540,-1,-1,1,-1,-1,-1,-1
bakery.6,hong,32,7.025229,2015-09-05.01:12:51,2636212,11845035,40400559,-1,-1,1,-1,-1,-1,-1
cambridge.6,hong,32,0.492884,2015-09-05.01:12:53,8413,3354295,9483191,-1,-1,1,-1,-1,-1,-1
L1750L1750T1,hong,32,118.439388,2015-09-05.01:14:54,3,9198003,24528008,-1,-1,1,-1,-1,-1,-1
L350L350T4,hong,32,34.47125,2015-09-05.01:15:30,31,3819231,11334492,-1,-1,1,-1,-1,-1,-1
leader_filters.7,hong,32,2.555821,2015-09-05.01:15:42,26302351,26302351,91692858,-1,-1,1,-1,-1,-1,-1
Li10Lo200,hong,32,42.334219,2015-09-05.01:16:26,100,4000000,15200000,-1,-1,1,-1,-1,-1,-1
Li200Lo10,hong,32,42.543679,2015-09-05.01:17:10,40000,4000000,15960000,-1,-1,1,-1,-1,-1,-1
Li50Lo40,hong,32,25.223123,2015-09-05.01:17:37,2500,4000000,15840000,-1,-1,1,-1,-1,-1,-1
lup.3,hong,32,0.137472,2015-09-05.01:17:38,1,1948617,3621672,-1,-1,1,-1,-1,-1,-1
resistance.1,hong,32,4.142413,2015-09-05.01:17:46,3,13762624,32052024,-1,-1,1,-1,-1,-1,-1
sorter.3,hong,32,4.138229,2015-09-05.01:17:50,1177164,1288478,2740540,-1,-1,1,-1,-1,-1,-1
bakery.6,hong,48,6.537657,2015-09-05.01:18:01,2636212,11845035,40400559,-1,-1,1,-1,-1,-1,-1
cambridge.6,hong,48,0.405004,2015-09-05.01:18:02,8413,3354295,9483191,-1,-1,1,-1,-1,-1,-1
L1750L1750T1,hong,48,124.010954,2015-09-05.01:20:09,3,9198003,24528008,-1,-1,1,-1,-1,-1,-1
L350L350T4,hong,48,33.587359,2015-09-05.01:20:44,31,3819231,11334492,-1,-1,1,-1,-1,-1,-1
leader_filters.7,hong,48,1.93729,2015-09-05.01:20:56,26302351,26302351,91692858,-1,-1,1,-1,-1,-1,-1
Li10Lo200,hong,48,36.587293,2015-09-05.01:21:34,100,4000000,15200000,-1,-1,1,-1,-1,-1,-1
Li200Lo10,hong,48,55.799725,2015-09-05.01:22:32,40000,4000000,15960000,-1,-1,1,-1,-1,-1,-1
Li50Lo40,hong,48,24.430023,2015-09-05.01:22:58,2500,4000000,15840000,-1,-1,1,-1,-1,-1,-1
lup.3,hong,48,0.10607,2015-09-05.01:22:58,1,1948617,3621672,-1,-1,1,-1,-1,-1,-1
resistance.1,hong,48,5.008373,2015-09-05.01:23:07,3,13762624,32052024,-1,-1,1,-1,-1,-1,-1
sorter.3,hong,48,3.716797,2015-09-05.01:23:11,1177164,1288478,2740540,-1,-1,1,-1,-1,-1,-1
bakery.6,hong,64,4.79517,2015-09-05.01:23:20,2636212,11845035,40400559,-1,-1,1,-1,-1,-1,-1
cambridge.6,hong,64,0.370263,2015-09-05.01:23:21,8413,3354295,9483191,-1,-1,1,-1,-1,-1,-1
L1750L1750T1,hong,64,123.293359,2015-09-05.01:25:27,3,9198003,24528008,-1,-1,1,-1,-1,-1,-1
L350L350T4,hong,64,27.397281,2015-09-05.01:25:56,31,3819231,11334492,-1,-1,1,-1,-1,-1,-1
leader_filters.7,hong,64,1.565845,2015-09-05.01:26:08,26302351,26302351,91692858,-1,-1,1,-1,-1,-1,-1
Li10Lo200,hong,64,25.992418,2015-09-05.01:26:36,100,4000000,15200000,-1,-1,1,-1,-1,-1,-1
Li200Lo10,hong,64,31.15598,2015-09-05.01:27:08,40000,4000000,15960000,-1,-1,1,-1,-1,-1,-1
Li50Lo40,hong,64,19.06825,2015-09-05.01:27:29,2500,4000000,15840000,-1,-1,1,-1,-1,-1,-1
lup.3,hong,64,0.09517,2015-09-05.01:27:30,1,1948617,3621672,-1,-1,1,-1,-1,-1,-1
resistance.1,hong,64,5.664155,2015-09-05.01:27:39,3,13762624,32052024,-1,-1,1,-1,-1,-1,-1
sorter.3,hong,64,3.251091,2015-09-05.01:27:43,1177164,1288478,2740540,-1,-1,1,-1,-1,-1,-1
bakery.6,tarjan,1,1.720461,2015-09-05.01:27:49,2636212,11845035,40400559,-1,-1,1,-1,-1,-1,-1
cambridge.6,tarjan,1,0.275717,2015-09-05.01:27:50,8413,3354295,9483191,-1,-1,1,-1,-1,-1,-1
L1750L1750T1,tarjan,1,0.859692,2015-09-05.01:27:54,3,9198003,24528008,-1,-1,1,-1,-1,-1,-1
L350L350T4,tarjan,1,0.252686,2015-09-05.01:27:55,31,3819231,11334492,-1,-1,1,-1,-1,-1,-1
L4L4T16,tarjan,1,0.19596,2015-09-05.01:27:57,131071,3276775,9830300,-1,-1,1,-1,-1,-1,-1
leader_filters.7,tarjan,1,2.739909,2015-09-05.01:28:08,26302351,26302351,91692858,-1,-1,1,-1,-1,-1,-1
Li10Lo200,tarjan,1,0.260186,2015-09-05.01:28:10,100,4000000,15200000,-1,-1,1,-1,-1,-1,-1
Li200Lo10,tarjan,1,0.224294,2015-09-05.01:28:12,40000,4000000,15960000,-1,-1,1,-1,-1,-1,-1
Li50Lo40,tarjan,1,0.222647,2015-09-05.01:28:14,2500,4000000,15840000,-1,-1,1,-1,-1,-1,-1
lup.3,tarjan,1,0.413985,2015-09-05.01:28:15,1,1948617,3621672,-1,-1,1,-1,-1,-1,-1
resistance.1,tarjan,1,1.995437,2015-09-05.01:28:21,3,13762624,32052024,-1,-1,1,-1,-1,-1,-1
sorter.3,tarjan,1,0.091697,2015-09-05.01:28:21,1177164,1288478,2740540,-1,-1,1,-1,-1,-1,-1
bakery.6,ufscc,1,4.1607,2015-09-05.01:28:29,2636212,11845035,40400559,11845035,40400559,1,0,7207804,21347721,11845034
cambridge.6,ufscc,1,1.142699,2015-09-05.01:28:32,8413,3354295,9483191,3354295,9483191,1,0,9724,6119173,3354294
L1750L1750T1,ufscc,1,2.428012,2015-09-05.01:28:37,3,9198003,24528008,9198003,24528008,1,0,6132000,9198006,9198002
L350L350T4,ufscc,1,1.036976,2015-09-05.01:28:39,31,3819231,11334492,3819231,11334492,1,0,3696000,3819262,3819230
L4L4T16,ufscc,1,0.852386,2015-09-05.01:28:41,131071,3276775,9830300,3276775,9830300,1,0,3145680,3407846,3276774
leader_filters.7,ufscc,1,4.909912,2015-09-05.01:28:55,26302351,26302351,91692858,26302351,91692858,1,0,65390508,0,26302350
Li10Lo200,ufscc,1,1.102365,2015-09-05.01:28:58,100,4000000,15200000,4000000,15200000,1,0,7199901,4000100,3999999
Li200Lo10,ufscc,1,1.046746,2015-09-05.01:29:01,40000,4000000,15960000,4000000,15960000,1,0,7920001,4040000,3999999
Li50Lo40,ufscc,1,1.03922,2015-09-05.01:29:03,2500,4000000,15840000,4000000,15840000,1,0,7837501,4002500,3999999
