model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
brp.4,ufscc,64,1.430,2015-12-02.01:21:19,1696242,12068447,25085950,14058942,29522204,1,0,2053887,12291677,13143669
brp.5,ufscc,64,1.460,2015-12-02.01:21:22,2500602,17740267,36903290,19398137,40637498,1,0,2942097,17339878,18674227
cambridge.6,ufscc,64,0.690,2015-12-02.01:21:26,8413,3354295,9483191,3568763,10166117,1,0,10405,6306757,3446307
cambridge.7,ufscc,64,5.700,2015-12-02.01:21:35,127380,11465015,54850496,11762624,56418271,1,0,385773,43330734,11578946
elevator2.3,ufscc,64,5.580,2015-12-02.01:21:42,1,7667712,55377920,9643658,69881556,1,0,0,50045372,7960862
elevator_planning.2,ufscc,64,5.350,2015-12-02.01:21:49,8,11428767,93278857,11900779,97342845,1,11900772,0,70672763,11487308
exit.1,ufscc,64,0.450,2015-12-02.01:21:52,3239334,3239334,7491035,3489825,8341122,1,0,4520333,0,3489825
exit.3,ufscc,64,0.430,2015-12-02.01:21:55,2356294,2356294,7047332,2457430,7588039,1,0,4837197,0,2457430
extinction.4,ufscc,64,0.470,2015-12-02.01:22:00,2001372,2001372,7116790,2300310,8224163,1,0,5470221,0,2300310
firewire_tree.5,ufscc,64,1.280,2015-12-02.01:23:04,3807023,3807023,18225703,4495808,21785162,1,0,15907798,0,4495808
fischer.3,ufscc,64,0.680,2015-12-02.01:23:08,1,2896705,12280586,3073982,13156015,1,6158,0,9477047,2909065
fischer.4,ufscc,64,0.410,2015-12-02.01:23:10,1,1272254,4609671,1290350,4718044,1,1195,0,3364955,1280997
fischer.6,ufscc,64,1.370,2015-12-02.01:23:13,1,8321728,33454191,8495609,34590308,1,3965,0,25258218,8339786
frogs.4,ufscc,64,1.170,2015-12-02.01:23:16,17443219,17443219,36286061,17740106,37011585,1,0,19040727,0,17740106
iprotocol.3,ufscc,64,0.440,2015-12-02.01:23:18,244098,1013456,3412754,1777660,6206871,1,0,1851992,1337868,1499985
iprotocol.4,ufscc,64,0.930,2015-12-02.01:23:21,1037386,3290916,11071177,6196692,21765438,1,0,6868491,3914070,5301497
iprotocol.5,ufscc,64,5.580,2015-12-02.01:23:28,11018902,31071582,104572634,48964767,171068917,1,0,61755510,31055945,43507088
krebs.4,ufscc,64,0.400,2015-12-02.01:23:30,1047405,1047405,5246321,1106075,5565355,1,0,4260159,0,1106075
lamport.5,ufscc,64,0.340,2015-12-02.01:23:32,140496,1066800,3630664,1201816,4104652,1,0,686789,2003449,1112274
lamport.6,ufscc,64,1.010,2015-12-02.01:23:35,1371572,8717688,31502176,10019705,36252557,1,0,6353109,17784513,8968788
lamport_nonatomic.4,ufscc,64,0.550,2015-12-02.01:23:41,1,1257304,5360727,1580625,6750298,1,170412,0,4045562,1275212
lann.3,ufscc,64,0.520,2015-12-02.01:23:45,224688,1832139,8725188,2027940,9745026,1,0,785043,6260543,1852768
leader_election.5,ufscc,64,1.170,2015-12-02.01:23:51,4803952,4803952,28064092,4839590,28221133,1,0,23303900,0,4839590
leader_filters.5,ufscc,64,0.350,2015-12-02.01:23:53,1572886,1572886,4684565,1622561,4861550,1,0,3171559,0,1622561
leader_filters.7,ufscc,64,1.940,2015-12-02.01:23:58,26302351,26302351,91692858,26425858,92212985,1,0,65583956,0,26425858
lifts.7,ufscc,64,0.830,2015-12-02.01:24:05,136013,5126781,13631916,6303260,16885535,1,0,642119,8899285,5531863
lifts.8,ufscc,64,1.460,2015-12-02.01:24:13,1592420,12359648,31993172,15341244,40230933,1,0,5282560,16999441,13432613
lup.3,ufscc,64,0.450,2015-12-02.01:24:16,1,1948617,3621672,2392323,4504181,1,0,0,1971985,2012137
lup.4,ufscc,64,0.930,2015-12-02.01:24:21,1,7479540,13974930,8795783,16660784,1,0,0,7403212,7647446
msmie.4,ufscc,64,1.800,2015-12-02.01:24:40,414699,7125441,11056210,11670601,28929780,1,0,763750,10432961,9154556
needham.4,ufscc,64,0.650,2015-12-02.01:24:47,6525019,6525019,22203081,6546759,22451174,1,0,15762655,0,6546759
peterson.4,ufscc,64,0.370,2015-12-02.01:24:49,29115,1119560,3864896,1224561,4250921,1,0,187337,2661848,1176339
pgm_protocol.6,ufscc,64,0.840,2015-12-02.01:24:56,2659121,2659550,8510552,3515590,10994821,1,0,6493924,147,3515589
pgm_protocol.8,ufscc,64,1.120,2015-12-02.01:25:01,3067750,3069390,7125121,4631389,10604308,1,0,4978686,340,4631388
production_cell.5,ufscc,64,0.940,2015-12-02.01:25:05,1,4211856,13072120,4457404,13996147,1,0,0,9047132,4299183
public_subscribe.2,ufscc,64,0.460,2015-12-02.01:25:11,287436,1846603,6087556,2183910,7213619,1,0,1295797,3263068,1955162
public_subscribe.3,ufscc,64,0.480,2015-12-02.01:25:15,287436,1846603,6087556,2139514,7066632,1,0,1291782,3232452,1936847
public_subscribe.4,ufscc,64,0.480,2015-12-02.01:25:18,287436,1846603,6087556,2184142,7218754,1,0,1288360,3243268,1946982
resistance.1,ufscc,64,8.830,2015-12-02.01:25:28,3,13762624,32052024,36740420,86475413,1,0,1,33125041,24225165
rether.4,ufscc,64,0.470,2015-12-02.01:25:34,97332,1157052,1535386,1676451,2251010,1,0,86033,536809,1322222
rether.5,ufscc,64,0.830,2015-12-02.01:25:39,2,3017044,3302351,5683864,6278040,1,0,0,1120751,3886523
rether.6,ufscc,64,1.030,2015-12-02.01:25:47,478204,5919694,7822384,8683179,11575207,1,0,317432,2737511,6839623
rether.7,ufscc,64,1.030,2015-12-02.01:25:52,2,4789409,5317199,7960454,8874445,1,0,0,1696496,5725657
schedule_world.2,ufscc,64,0.740,2015-12-02.01:25:55,26018,1570340,14308706,1996641,21556501,1,0,1915757,12286025,1727764
sorter.3,ufscc,64,0.510,2015-12-02.01:25:58,1177164,1288478,2740540,1956194,4082198,1,362328,1283847,225236,1928046
sorter.4,ufscc,64,1.820,2015-12-02.01:26:03,6857056,13184427,27051822,19956670,42044654,1,3767733,6207354,9153815,17633880
synapse.4,ufscc,64,0.570,2015-12-02.01:26:08,585635,2292286,4921830,2425420,6170205,1,0,273153,2665758,2351289
synapse.7,ufscc,64,1.020,2015-12-02.01:26:19,2891451,10198141,19893297,10731532,22944271,1,0,2066149,8472231,10427225
szymanski.3,ufscc,64,0.390,2015-12-02.01:26:22,8,1128424,4234041,1236529,4650043,1,0,100410,3112206,1185166
szymanski.4,ufscc,64,0.510,2015-12-02.01:26:25,8,2313863,8550392,2460386,9110156,1,0,133751,6242667,2395666
telephony.4,ufscc,64,5.480,2015-12-02.01:26:34,411677,12291552,64110312,13708402,72447297,1,0,14076613,39396455,12505512
telephony.7,ufscc,64,5.230,2015-12-02.01:26:42,1218609,21960308,114070470,23942638,125303858,1,0,32427793,62152021,22366884
adding.3,renault,64,0.450,2015-12-02.01:26:44,1894376,1894376,2921634,4098980,6924551,1,-1,-1,-1,-1
adding.4,renault,64,0.670,2015-12-02.01:26:46,3370680,3370680,5201282,7476574,12647775,1,-1,-1,-1,-1
adding.5,renault,64,0.790,2015-12-02.01:26:48,5271456,5271456,8135364,9878300,16491565,1,-1,-1,-1,-1
adding.6,renault,64,1.070,2015-12-02.01:26:50,7609684,7609684,11746148,14376120,24015530,1,-1,-1,-1,-1
at.3,renault,64,9.660,2015-12-02.01:27:02,1,1711620,6075360,109464444,388547620,1,-1,-1,-1,-1
at.4,renault,64,39.940,2015-12-02.01:27:45,1,6597245,25470140,422184098,1629944709,1,-1,-1,-1,-1
bakery.5,renault,64,49.060,2015-12-02.01:28:36,1000072,7866401,27018304,400093424,1385300264,1,-1,-1,-1,-1
bakery.6,renault,64,68.540,2015-12-02.01:29:46,2636212,11845035,40400559,546617668,1893157209,1,-1,-1,-1,-1
bopdp.3,renault,64,0.410,2015-12-02.01:29:50,1023793,1040953,2747408,2412712,6987197,1,-1,-1,-1,-1
brp2.6,renault,64,19.460,2015-12-02.01:30:12,25312,5742313,9058624,365905303,577421872,1,-1,-1,-1,-1
brp.4,renault,64,38.270,2015-12-02.01:30:53,1696242,12068447,25085950,658017918,1374715541,1,-1,-1,-1,-1
brp.5,renault,64,56.960,2015-12-02.01:31:53,2500602,17740267,36903290,967133292,2021999302,1,-1,-1,-1,-1
cambridge.6,renault,64,20.050,2015-12-02.01:32:16,8413,3354295,9483191,214144924,605993336,1,-1,-1,-1,-1
cambridge.7,renault,64,119.370,2015-12-02.01:34:19,127380,11465015,54850496,716460985,3442058207,1,-1,-1,-1,-1
elevator2.3,renault,64,83.380,2015-12-02.01:35:44,1,7667712,55377920,484570306,3497055464,1,-1,-1,-1,-1
elevator_planning.2,renault,64,112.960,2015-12-02.01:37:40,8,11428767,93278857,729120953,5952646439,1,-1,-1,-1,-1
exit.3,renault,64,0.360,2015-12-02.01:37:45,2356294,2356294,7047332,2632637,8439535,1,-1,-1,-1,-1
extinction.4,renault,64,0.500,2015-12-02.01:37:50,2001372,2001372,7116790,3856129,14067387,1,-1,-1,-1,-1
firewire_tree.5,renault,64,2.590,2015-12-02.01:38:56,3807023,3807023,18225703,10827187,53184957,1,-1,-1,-1,-1
fischer.3,renault,64,17.920,2015-12-02.01:39:16,1,2896705,12280586,185255810,785272015,1,-1,-1,-1,-1
fischer.4,renault,64,7.120,2015-12-02.01:39:27,1,1272254,4609671,81283510,294287662,1,-1,-1,-1,-1
fischer.6,renault,64,50.870,2015-12-02.01:40:20,1,8321728,33454191,531356074,2134612334,1,-1,-1,-1,-1
frogs.4,renault,64,1.280,2015-12-02.01:40:23,17443219,17443219,36286061,20197310,42569217,1,-1,-1,-1,-1
iprotocol.3,renault,64,0.770,2015-12-02.01:40:26,244098,1013456,3412754,7993657,27307285,1,-1,-1,-1,-1
iprotocol.4,renault,64,2.160,2015-12-02.01:40:31,1037386,3290916,11071177,28803251,99457211,1,-1,-1,-1,-1
iprotocol.5,renault,64,19.940,2015-12-02.01:40:54,11018902,31071582,104572634,191441290,660688661,1,-1,-1,-1,-1
krebs.4,renault,64,0.390,2015-12-02.01:40:56,1047405,1047405,5246321,1623624,8379261,1,-1,-1,-1,-1
lamport.5,renault,64,1.600,2015-12-02.01:41:00,140496,1066800,3630664,20911680,70155946,1,-1,-1,-1,-1
lamport.6,renault,64,11.110,2015-12-02.01:41:13,1371572,8717688,31502176,147597243,530855314,1,-1,-1,-1,-1
lamport_nonatomic.4,renault,64,9.010,2015-12-02.01:41:27,1,1257304,5360727,80467456,343086528,1,-1,-1,-1,-1
lann.3,renault,64,14.850,2015-12-02.01:41:45,224688,1832139,8725188,101655921,495167472,1,-1,-1,-1,-1
leader_election.5,renault,64,1.210,2015-12-02.01:41:55,4803952,4803952,28064092,5648662,33059667,1,-1,-1,-1,-1
leader_filters.5,renault,64,0.310,2015-12-02.01:42:00,1572886,1572886,4684565,2035060,6212837,1,-1,-1,-1,-1
leader_filters.7,renault,64,2.000,2015-12-02.01:42:06,26302351,26302351,91692858,28975848,102048983,1,-1,-1,-1,-1
lifts.7,renault,64,3.570,2015-12-02.01:42:17,136013,5126781,13631916,43527350,115716188,1,-1,-1,-1,-1
lifts.8,renault,64,5.510,2015-12-02.01:42:29,1592420,12359648,31993172,72125755,189287610,1,-1,-1,-1,-1
lup.3,renault,64,7.940,2015-12-02.01:42:40,1,1948617,3621672,124707750,231781938,1,-1,-1,-1,-1
lup.4,renault,64,31.290,2015-12-02.01:43:15,1,7479540,13974930,478665287,894355350,1,-1,-1,-1,-1
msmie.4,renault,64,7.040,2015-12-02.01:43:40,414699,7125441,11056210,122265843,207417420,1,-1,-1,-1,-1
needham.4,renault,64,0.710,2015-12-02.01:43:47,6525019,6525019,22203081,6608505,22826531,1,-1,-1,-1,-1
peterson.4,renault,64,7.520,2015-12-02.01:43:57,29115,1119560,3864896,64488696,221332886,1,-1,-1,-1,-1
pgm_protocol.6,renault,64,1.250,2015-12-02.01:44:02,2659121,2659550,8510552,7677706,23796935,1,-1,-1,-1,-1
pgm_protocol.8,renault,64,1.570,2015-12-02.01:44:08,3067750,3069390,7125121,11321766,26025473,1,-1,-1,-1,-1
production_cell.5,renault,64,22.880,2015-12-02.01:44:36,1,4211856,13072120,269506522,836458802,1,-1,-1,-1,-1
public_subscribe.2,renault,64,4.440,2015-12-02.01:44:44,287436,1846603,6087556,54154967,183989497,1,-1,-1,-1,-1
public_subscribe.3,renault,64,4.370,2015-12-02.01:44:52,287436,1846603,6087556,53354296,181484800,1,-1,-1,-1,-1
resistance.1,renault,64,57.310,2015-12-02.01:45:55,3,13762624,32052024,873920627,2035336286,1,-1,-1,-1,-1
rether.4,renault,64,3.940,2015-12-02.01:46:02,97332,1157052,1535386,64981673,84992778,1,-1,-1,-1,-1
rether.5,renault,64,10.050,2015-12-02.01:46:15,2,3017044,3302351,193090816,211350464,1,-1,-1,-1,-1
rether.6,renault,64,20.020,2015-12-02.01:46:39,478204,5919694,7822384,343033445,448559427,1,-1,-1,-1,-1
rether.7,renault,64,16.790,2015-12-02.01:47:05,2,4789409,5317199,306522176,340300736,1,-1,-1,-1,-1
schedule_world.2,renault,64,10.000,2015-12-02.01:47:17,26018,1570340,14308706,51782136,482226648,1,-1,-1,-1,-1
sorter.3,renault,64,0.600,2015-12-02.01:47:21,1177164,1288478,2740540,4630113,9864779,1,-1,-1,-1,-1
synapse.4,renault,64,6.880,2015-12-02.01:47:37,585635,2292286,4921830,97206900,234975619,1,-1,-1,-1,-1
synapse.7,renault,64,17.950,2015-12-02.01:48:02,2891451,10198141,19893297,280428223,584382664,1,-1,-1,-1,-1
szymanski.3,renault,64,8.240,2015-12-02.01:48:15,8,1128424,4234041,65655330,245915024,1,-1,-1,-1,-1
szymanski.4,renault,64,17.600,2015-12-02.01:48:37,8,2313863,8550392,138348593,510428944,1,-1,-1,-1,-1
telephony.4,renault,64,31.080,2015-12-02.01:49:13,411677,12291552,64110312,254773578,1375796067,1,-1,-1,-1,-1
telephony.7,renault,64,37.150,2015-12-02.01:49:55,1218609,21960308,114070470,300809747,1619734067,1,-1,-1,-1,-1
adding.3,tarjan,1,2.620,2015-12-02.04:32:39,1894376,1894376,2921634,1894376,2921634,1,-1,-1,-1,-1
adding.4,tarjan,1,4.450,2015-12-02.04:32:44,3370680,3370680,5201282,3370680,5201282,1,-1,-1,-1,-1
adding.5,tarjan,1,6.350,2015-12-02.04:32:50,5271456,5271456,8135364,5271456,8135364,1,-1,-1,-1,-1
adding.6,tarjan,1,9.110,2015-12-02.04:33:00,7609684,7609684,11746148,7609684,11746148,1,-1,-1,-1,-1
at.3,tarjan,1,7.140,2015-12-02.04:33:08,1,1711620,6075360,1711620,6075360,1,-1,-1,-1,-1
at.4,tarjan,1,31.040,2015-12-02.04:33:40,1,6597245,25470140,6597245,25470140,1,-1,-1,-1,-1
bakery.5,tarjan,1,30.110,2015-12-02.04:34:11,1000072,7866401,27018304,7866401,27018304,1,-1,-1,-1,-1
bakery.6,tarjan,1,40.340,2015-12-02.04:34:52,2636212,11845035,40400559,11845035,40400559,1,-1,-1,-1,-1
bopdp.3,tarjan,1,2.900,2015-12-02.04:34:57,1023793,1040953,2747408,1040953,2747408,1,-1,-1,-1,-1
brp2.6,tarjan,1,14.760,2015-12-02.04:35:12,25312,5742313,9058624,5742313,9058624,1,-1,-1,-1,-1
