model,alg,workers,time,date,sccs,ustates,utrans,tstates,ttrans,initstates,selfloop,claimdead,claimfound,claimsuccess
livej,hong,1,1.95755,2015-09-02.16:12:50,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,1,0.606989,2015-09-02.16:12:52,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,1,0.64942,2015-09-02.16:12:55,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,1,5.502885,2015-09-02.16:13:09,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,1,4.410919,2015-09-02.16:13:22,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,1,3.180005,2015-09-02.16:13:36,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,1,2.509653,2015-09-02.16:13:48,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,2,1.303172,2015-09-02.16:13:55,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,2,0.371519,2015-09-02.16:13:57,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,2,0.455707,2015-09-02.16:14:00,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,2,3.467825,2015-09-02.16:14:12,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,2,2.69354,2015-09-02.16:14:23,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,2,1.864778,2015-09-02.16:14:35,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,2,1.800176,2015-09-02.16:14:47,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,4,1.013769,2015-09-02.16:14:53,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,4,0.204959,2015-09-02.16:14:55,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,4,0.380701,2015-09-02.16:14:58,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,4,2.038155,2015-09-02.16:15:08,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,4,1.828782,2015-09-02.16:15:18,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,4,0.994576,2015-09-02.16:15:30,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,4,1.295866,2015-09-02.16:15:41,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,6,1.00139,2015-09-02.16:15:47,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,6,0.171707,2015-09-02.16:15:49,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,6,0.303499,2015-09-02.16:15:52,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,6,1.648199,2015-09-02.16:16:02,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,6,1.548042,2015-09-02.16:16:12,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,6,0.705218,2015-09-02.16:16:23,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,6,1.073636,2015-09-02.16:16:34,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,8,0.758142,2015-09-02.16:16:40,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,8,0.14431,2015-09-02.16:16:42,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,8,0.304989,2015-09-02.16:16:45,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,8,1.436343,2015-09-02.16:16:54,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,8,1.456388,2015-09-02.16:17:04,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,8,0.57091,2015-09-02.16:17:15,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,8,0.981417,2015-09-02.16:17:26,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,12,0.685752,2015-09-02.16:17:32,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,12,0.125758,2015-09-02.16:17:34,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,12,0.242238,2015-09-02.16:17:37,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,12,1.18937,2015-09-02.16:17:46,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,12,1.123996,2015-09-02.16:17:56,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,12,0.423737,2015-09-02.16:18:07,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,12,0.813583,2015-09-02.16:18:17,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,16,0.55033,2015-09-02.16:18:23,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,16,0.120879,2015-09-02.16:18:25,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,16,0.225885,2015-09-02.16:18:28,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,16,1.146322,2015-09-02.16:18:37,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,16,1.085861,2015-09-02.16:18:46,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,16,0.344781,2015-09-02.16:18:57,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,16,0.777677,2015-09-02.16:19:08,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,24,0.478505,2015-09-02.16:19:14,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,24,0.127612,2015-09-02.16:19:15,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,24,0.20969,2015-09-02.16:19:18,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,24,1.294666,2015-09-02.16:19:28,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,24,0.937966,2015-09-02.16:19:37,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,24,0.295713,2015-09-02.16:19:48,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,24,0.627822,2015-09-02.16:19:59,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,32,0.396438,2015-09-02.16:20:04,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,32,0.101549,2015-09-02.16:20:06,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,32,0.157873,2015-09-02.16:20:09,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,32,1.025082,2015-09-02.16:20:18,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,32,0.757676,2015-09-02.16:20:27,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,32,0.257367,2015-09-02.16:20:38,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,32,0.557921,2015-09-02.16:20:48,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,48,0.339073,2015-09-02.16:20:54,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,48,0.077665,2015-09-02.16:20:55,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,48,0.146342,2015-09-02.16:20:58,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,48,0.72116,2015-09-02.16:21:07,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,48,0.581529,2015-09-02.16:21:16,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,48,0.220876,2015-09-02.16:21:27,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,48,0.414681,2015-09-02.16:21:37,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,hong,64,0.27436,2015-09-02.16:21:43,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,hong,64,0.055849,2015-09-02.16:21:45,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,hong,64,0.114697,2015-09-02.16:21:47,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
random,hong,64,0.686849,2015-09-02.16:21:56,877,10000001,100000000,-1,-1,1,-1,-1,-1,-1
rmat,hong,64,0.504309,2015-09-02.16:22:05,2247072,9999994,100000000,-1,-1,1,-1,-1,-1,-1
ssca2,hong,64,0.191607,2015-09-02.16:22:16,31,1048577,157877986,-1,-1,1,-1,-1,-1,-1
wiki-links,hong,64,0.423555,2015-09-02.16:22:27,2002220,5710993,130160392,-1,-1,1,-1,-1,-1,-1
livej,tarjan,1,2.881328,2015-09-02.16:52:39,971232,4847571,68993773,-1,-1,1,-1,-1,-1,-1
patent,tarjan,1,0.887511,2015-09-02.16:52:42,3774768,3774768,16518948,-1,-1,1,-1,-1,-1,-1
pokec,tarjan,1,1.321744,2015-09-02.16:52:46,325893,1632804,30622564,-1,-1,1,-1,-1,-1,-1
